Feature,Importance,Rank
function_type_memory,0.68746066,1
local_memory_mb,0.10847584,2
function_name_json-parser,0.06868818,3
function_name_bubble-sort,0.03277859,4
lines_of_code,0.032769103,5
aws_memory_used_mb,0.025081465,6
max_nesting_depth,0.015198392,7
num_conditionals,0.012261009,8
num_function_calls,0.006822974,9
function_name_data-transform,0.0027601297,10
num_loops,0.0024436074,11
calibration_ratio,0.0015169682,12
function_type_io,0.0013535888,13
duration_ratio,0.0012036606,14
local_cpu_percent,0.0006136882,15
local_duration_ms,0.00024603982,16
cyclomatic_complexity,0.00014725959,17
function_name_array-operations,0.00010673959,18
input_size_Medium,2.1010545e-05,19
function_name_file-reader,1.8312841e-05,20
function_name_simple-encryption,1.7706878e-05,21
input_size_Small,8.375518e-06,22
memory_config_mb,2.8329866e-06,23
aws_duration_ms,2.8207633e-06,24
memory_efficiency,6.0279444e-07,25
function_name_string-concat,5.0724594e-07,26
cold_start,0.0,27
function_name_matrix-multiply,0.0,28
function_name_dict-builder,0.0,29
function_name_fibonacci,0.0,30
function_name_csv-processor,0.0,31
function_name_list-comprehension,0.0,32
function_name_url-validator,0.0,33
function_name_prime-calculator,0.0,34
